Name_N,RA(deg),DEC(deg),Type_N,Name_S,RA_d,DEC_d,Type_S,exactMatch
2XMM J133706.9-295059,204.27894,-29.84986,XrayS,[DBL2010] M83-SRC-1-O2,204.279067,-29.849206,SNR?,False
2XMM J133708.4-295339,204.28519,-29.89435,XrayS,[SL2011] NGC 5236 2 270,204.281792,-29.896675,Cl*?,False
2XMM J133708.7-295237,204.28657,-29.87702,XrayS,[DBL2010] M83-SNR-1-29,204.28608,-29.87858,SNR,False
2XMM J133710.5-295213,204.29398,-29.87049,XrayS,[L99] n5236-769,204.29579,-29.87164,Cl*,False
6dF J1336537-294915,204.22396,-29.82044,*Cl,[SL2011] NGC 5236 1 211,204.223958,-29.820444,Cl*?,False
6dF J1337060-295319,204.27558,-29.8885,PofG,6dFGS gJ133706.1-295319,204.27558,-29.8885,Galaxy,False
6dF J1337101-295125,204.29254,-29.85689,PofG,6dFGS gJ133710.2-295125,204.292542,-29.8568,Galaxy,False
CRATES J1336-2951,204.22588,-29.85556,RadioS,[CHP2004] J133653.9-295115,204.22471,-29.85408,X,False
CRATES J1337-2951 NED02,204.27354,-29.85619,RadioS,[WCK2011] 71,204.2710796,-29.8556303,Cl*,False
CXO J133652.50-295107.4,204.21876,-29.85206,XrayS,[MCK2006]  8,204.219875,-29.852886,HII,False
CXO J133652.61-295144.1,204.21924,-29.86225,XrayS,[RK83] 213,204.2192,-29.8628,HII,False
CXO J133659.4-294959,204.24775,-29.83314,XrayS,[SW2003]  44,204.2479,-29.8331,X,False
CXO J133659.8-295203,204.24921,-29.86819,XrayS,[CHP2004] J133659.8-295206,204.24921,-29.86819,X,False
CXO J133700.4-295159,204.25188,-29.86653,XrayS,CXOU J133700.4-295159,204.25187,-29.86653,X,False
CXO J133700.6-295320,204.25271,-29.88886,XrayS,[CHP2004] J133700.6-295320,204.25271,-29.88886,X,False
CXO J133700.8-295157,204.25363,-29.86597,XrayS,[SW94] M,204.25379,-29.86597,Star,False
CXO J133700.87-295156.2,204.25364,-29.86562,XrayS,M  83,204.253829,-29.865761,StarburstG,False
CXO J133700.9-295202,204.25404,-29.86744,XrayS,[BWC2008] C18,204.25404,-29.86744,X,False
CXO J133701.0-295154,204.2542,-29.86519,XrayS,[TH94] M 83 6,204.25404,-29.86519,Radio,False
CXO J133701.4-295326,204.25621,-29.89075,XrayS,[CHP2004] J133701.5-295327,204.2562,-29.8908,X,False
CXO J133701.6-295128,204.25683,-29.85789,HII,[WCK2011] 5,204.2564417,-29.8586911,Cl*,False
CXO J133703.9-294930,204.26617,-29.82517,*Cl,[CHP2004] J133703.9-294930,204.26617,-29.82517,X,False
CXO J133704.3-295121,204.26825,-29.85603,XrayS,[SW2003]  88,204.2683,-29.8558,X,False
CXO J133704.64-295120.4,204.26937,-29.85567,XrayS,[CHP2004] J133704.6-295120,204.26942,-29.85572,X,False
CXO J133704.71-295053.0,204.26964,-29.84807,XrayS,[SL2011] NGC 5236 1 639,204.2705,-29.848406,Cl*?,False
CXO J133707.0-295102,204.27967,-29.8505,XrayS,[SW2003] 104,204.27958,-29.85042,SNR,False
CXO J133707.3-295133,204.28113,-29.85923,SNR,[DBL2010] M83-SNR-1-22,204.28112,-29.85925,SNR?,False
CXO J133711.97-294842.4,204.29991,-29.8118,XrayS,[HC2009b] M83-136,204.30079,-29.80958,PN,False
CXOU J133653.9-294848,204.22467,-29.81356,HII,[DK2003] M83-20,204.22454,-29.81344,X,False
CXOU J133656.5-294817,204.23546,-29.80492,XrayS,[CHP2004] J133656.4-294817,204.23546,-29.80492,X,False
CXOU J133656.6-294912,204.23604,-29.82017,XrayS,[CHP2004] J133656.7-294912,204.23604,-29.82017,X,False
CXOU J133656.6-295321,204.23621,-29.88939,XrayS,CXOU J133656.6-295321,204.23621,-29.88939,X,False
CXOU J133657.4-294729,204.23967,-29.79144,XrayS,[CHP2004] J133657.5-294729,204.23967,-29.79144,X,False
CXOU J133657.9-294923,204.24142,-29.82322,XrayS,[CHP2004] J133657.9-294923,204.24142,-29.82322,X,False
CXOU J133658.2-295124,204.2425,-29.85683,XrayS,[CHP2004] J133658.2-295124,204.2425,-29.85683,X,False
CXOU J133658.2-295216,204.24263,-29.87111,XrayS,[CHP2004] J133658.3-295216,204.24262,-29.87111,X,False
CXOU J133658.3-294833,204.24337,-29.80928,HII,[CHP2004] J133658.3-294833,204.24337,-29.80928,X,False
CXOU J133658.3-295105,204.24329,-29.85142,G,[CHP2004] J133658.4-295105,204.24329,-29.85142,X,False
CXOU J133658.7-295100,204.24463,-29.85014,SNR,[DBL2010] M83-SNR-1-01,204.24463,-29.85014,SNR?,False
CXOU J133659.1-295336,204.24638,-29.89347,XrayS,[CHP2004] J133659.1-295336,204.24637,-29.89347,X,False
CXOU J133659.5-295203,204.24783,-29.86768,SNR,[DBL2010] M83-SNR-1-04,204.24792,-29.86769,SNR?,False
CXOU J133700.0-295138,204.25025,-29.86058,XrayS,CXOU J133700.0-295138,204.25025,-29.86058,SNR,False
CXOU J133700.0-295150,204.25012,-29.86394,XrayS,[SW2003]  49,204.25013,-29.86394,X,False
CXOU J133700.1-295330,204.25046,-29.89167,XrayS,[CHP2004] J133700.1-295330,204.25046,-29.89167,X,False
CXOU J133700.2-295206,204.25089,-29.86841,SNR,[DK2003] M83-114,204.250892,-29.868408,SNR?,False
CXOU J133700.3-295205,204.2514,-29.8682,SNR,[DBL2010] M83-SNR-N-04,204.251417,-29.868175,SNR,False
CXOU J133700.4-295054,204.25175,-29.84842,*Cl,[CHP2004] J133700.4-295054,204.25175,-29.84842,X,False
CXOU J133700.5-295156,204.25213,-29.86558,XrayS,CXOU J133700.5-295156,204.25212,-29.86558,X,False
CXOU J133700.5-295211,204.25217,-29.86962,XrayS,[DBL2010] M83-SNR-N-09,204.252421,-29.869233,SNR?,False
CXOU J133700.6-295146,204.2525,-29.86297,XrayS,[CHP2004] J133700.6-295147,204.2525,-29.86297,X,False
CXOU J133700.6-295159,204.25271,-29.86653,XrayS,CXOU J133700.6-295159,204.25271,-29.86653,X,False
CXOU J133700.6-295204,204.25275,-29.86778,XrayS,CXOU J133700.6-295204,204.25275,-29.86778,X,False
CXOU J133701.1-295151,204.25461,-29.86448,SNR,[SW2003]  67,204.254612,-29.864481,SNR?,False
CXOU J133701.3-295136,204.25546,-29.86025,XrayS,[CHP2004] J133701.3-295137,204.25546,-29.86025,X,False
CXOU J133702.2-294952,204.25929,-29.83136,XrayS,[CHP2004] J133702.2-294953,204.2592,-29.8314,X,False
CXOU J133702.4-295126,204.26018,-29.85724,SNR,[BL2004b] SNR 41,204.26008,-29.85714,SNR,False
CXOU J133702.4-295319,204.26029,-29.88872,XrayS,[CHP2004] J133702.5-295319,204.26029,-29.88872,X,False
CXOU J133703.0-294945,204.26275,-29.82928,HII,CXOU J133703.0-294945,204.26258,-29.82933,SNR,False
CXOU J133703.3-295226,204.26379,-29.87414,SNR,[CHP2004] J133703.3-295227,204.26379,-29.87414,X,False
CXOU J133704.3-295130,204.26825,-29.85853,XrayS,[CHP2004] J133704.4-295130,204.26825,-29.85853,X,False
CXOU J133704.4-294938,204.26858,-29.82744,HII,CXOU J133704.4-294938,204.26837,-29.82742,X,False
CXOU J133704.5-295108,204.26913,-29.85231,*Cl,CXOU J133704.5-295108,204.26912,-29.85231,X,False
CXOU J133704.6-295120,204.26942,-29.85572,XrayS,[CHP2004] J133704.6-295120,204.26942,-29.85572,X,False
CXOU J133704.7-294851,204.26988,-29.81442,XrayS,[CHP2004] J133704.8-294852,204.26988,-29.81442,X,False
CXOU J133705.4-295234,204.27283,-29.87617,XrayS,[CHP2004] J133705.5-295234,204.27283,-29.87617,X,False
CXOU J133706.0-295159,204.275,-29.86653,XrayS,CXOU J133706.0-295159,204.275,-29.86653,X,False
CXOU J133706.1-295232,204.27575,-29.87567,XrayS,[CHP2004] J133706.2-295232,204.2758,-29.8756,X,False
CXOU J133706.8-295057,204.27838,-29.84939,XrayS,CXOU J133706.8-295057,204.27837,-29.84939,X,False
CXOU J133707.0-295320,204.27942,-29.88911,XrayS,CXOU J133707.0-295320,204.27946,-29.88914,SNR?,False
CXOU J133707.1-295202,204.27958,-29.86731,XrayS,CXOU J133707.1-295202,204.279367,-29.867156,X,False
CXOU J133707.5-294859,204.28137,-29.81653,XrayS,[CHP2004] J133707.5-294859,204.28137,-29.81653,X,False
CXOU J133708.2-294916,204.28421,-29.82128,*Cl,CXOU J133708.2-294916,204.28421,-29.82128,X,False
CXOU J133708.3-295126,204.28487,-29.85728,XrayS,CXOU J133708.3-295126,204.28487,-29.85728,X,False
CXOU J133708.5-295135,204.28566,-29.85969,SNR,[DBL2010] M83-SNR-1-28,204.28571,-29.85972,SNR?,False
CXOU J133711.9-295215,204.29958,-29.87106,XrayS,[CHP2004] J133711.9-295216,204.2996,-29.8711,X,False
CXOU J133712.1-295056,204.30042,-29.849,XrayS,[DK2003] M83-94,204.30033,-29.84919,SNR,False
CXOU J133712.4-295140,204.30192,-29.86111,XrayS,[CHP2004] J133712.5-295140,204.30192,-29.86111,X,False
CXOU J133712.5-295155,204.30217,-29.86528,XrayS,[CHP2004] J133712.5-295155,204.30217,-29.86528,X,False
CXOU J133712.8-295012,204.3035,-29.83678,XrayS,[SW2003] 115,204.30338,-29.83672,X,False
CXOU J133714.4-295149,204.31029,-29.86364,XrayS,[CHP2004] J133714.5-295149,204.31029,-29.86364,X,False
CXOU J133714.6-294944,204.31121,-29.82897,XrayS,[CHP2004] J133714.7-294944,204.31121,-29.82897,X,False
CXOU J133716.1-295202,204.31742,-29.86733,XrayS,CXOU J133716.1-295202,204.31742,-29.86733,X,False
CXOU J133717.4-295154,204.32283,-29.86506,XrayS,[DK2003] M83-106,204.32258,-29.865,SNR,False
CXOU J133717.9-295211,204.32487,-29.86997,XrayS,CXOU J133717.9-295211,204.32488,-29.86997,X,False
CXOU J133718.8-295014,204.32858,-29.83733,XrayS,CXOU J133718.8-295014,204.32858,-29.83733,X,False
GALEXASC J133700.46-295200.3,204.25179,-29.86672,*Cl,[WLC2011] 9,204.251792,-29.866722,Cl*,False
MESSIER 083:[BCD2014] 13,204.22387,-29.81424,SNR,[BCD2014] 13,204.223875,-29.814239,SNR,False
MESSIER 083:[BCD2014] 25,204.24912,-29.81052,SNR,[BCD2014] 25,204.249125,-29.810519,SNR,False
MESSIER 083:[BWL2012] 076,204.2265,-29.83822,SNR,[BWL2012] 076,204.2265,-29.83822,SNR?,False
MESSIER 083:[BWL2012] 078,204.22696,-29.848,SNR,[BWL2012] 078,204.22696,-29.848,SNR?,False
MESSIER 083:[BWL2012] 088,204.22929,-29.85686,SNR,[BL2004b] SNR 19,204.22929,-29.85686,SNR?,False
MESSIER 083:[BWL2012] 136,204.25313,-29.88997,SNR,[BWL2012] 136,204.25312,-29.88997,SNR?,False
MESSIER 083:[BWL2012] 140,204.25633,-29.83742,SNR,[BL2004b] SNR 36,204.25633,-29.83742,SNR?,False
MESSIER 083:[BWL2012] 141,204.25654,-29.833,SNR,[BL2004b] O19,204.25654,-29.833,ISM,False
MESSIER 083:[BWL2012] 148,204.25967,-29.83528,SNR,[BWL2012] 148,204.25967,-29.83528,SNR?,False
MESSIER 083:[BWL2012] 152,204.26442,-29.84622,SNR,[BWL2012] 152,204.26442,-29.84622,SNR?,False
MESSIER 083:[BWL2012] 153,204.26625,-29.82858,SNR,[BWL2012] 153,204.26625,-29.82858,SNR?,False
MESSIER 083:[BWL2012] 155,204.26721,-29.88792,SNR,[BWL2012] 155,204.26721,-29.88792,SNR?,False
MESSIER 083:[BWL2012] 157,204.26846,-29.89656,SNR,[BWL2012] 157,204.26846,-29.89656,SNR?,False
MESSIER 083:[BWL2012] 159,204.26879,-29.82661,SNR,[BWL2012] 159,204.26879,-29.82661,SNR?,False
MESSIER 083:[BWL2012] 161,204.27004,-29.89822,SNR,[BL2004b] SNR 43,204.27004,-29.89822,SNR?,False
MESSIER 083:[BWL2012] 162,204.27008,-29.83525,SNR,[BL2004b] SNR 44,204.27008,-29.83525,SNR?,False
MESSIER 083:[BWL2012] 163,204.27021,-29.82836,SNR,[BWL2012] 163,204.27021,-29.82836,SNR?,False
MESSIER 083:[BWL2012] 164,204.27071,-29.83786,SNR,[BWL2012] 164,204.27071,-29.83786,SNR?,False
MESSIER 083:[BWL2012] 168,204.27504,-29.8345,SNR,[BL2004b] SNR 45,204.27504,-29.8345,SNR,False
MESSIER 083:[BWL2012] 173,204.27692,-29.83503,SNR,[BL2004b] SNR 49,204.27692,-29.83503,SNR?,False
MESSIER 083:[BWL2012] 175,204.27842,-29.82397,SNR,[BWL2012] 175,204.27842,-29.82397,SNR?,False
MESSIER 083:[BWL2012] 177,204.27921,-29.81881,SNR,[BL2004b] SNR 51,204.27921,-29.81881,SNR?,False
MESSIER 083:[BWL2012] 184,204.28213,-29.88367,SNR,[BWL2012] 184,204.28212,-29.88367,SNR?,False
MESSIER 083:[BWL2012] 186,204.28304,-29.82222,SNR,[BL2004b] SNR 57,204.28304,-29.82222,SNR?,False
MESSIER 083:[BWL2012] 189,204.28421,-29.88903,SNR,[BWL2012] 189,204.28421,-29.88903,SNR?,False
MESSIER 083:[BWL2012] 190,204.28533,-29.86722,SNR,[DBL2010] M83-SNR-1-27,204.28533,-29.86722,SNR?,False
